id,categoria,item,spec_sugerida,cantidad,est_eur_min,est_eur_max,prioridad
T1,estructura,Tanque/acuario,400x400x1200 mm cristal o PC,1,40,120,v1
T2,estructura,Varilla guia,Inox 316 D8-10 mm L=1.0 m,2,15,30,v1
T3,estructura,Soportes guia,PLA+ o aluminio,4,10,25,v1
T4,estructura,Puente superior,Madera o Alu 2 mm,1,10,20,v1
T5,estructura,Tope final carrera,Goma + tornillos inox,2,5,5,v1
T6,estructura,Prensaestopas,PG7/PG9,4,8,15,v1.1
M1,modulo,Casco/boya,PETG hueco sellado o PVC,1,5,40,v1
M2,modulo,Buje deslizante,PTFE/nylon para guia,4,8,20,v1
M3,modulo,Horquilla asiento lastre,PETG/nylon impreso,1,5,15,v1
M4,modulo,Lastre fijo calibracion,Plomos/arandelas inox,1,5,15,v1
M5,modulo,Tornilleria inox A4,M3-M5 surtido,1,8,12,v1
M6,modulo,Silicona/epoxy marina,sellado casco,1,8,15,v1
L1,lastre,Cuerpo lastre L,Inox o laton 0.5-1 kg,1,10,30,v1
L2,lastre,Pasador perno O,D5 inox + muelle,1,5,10,v1
L3,lastre,Pasador perno R_alta,D5 inox + muelle,1,5,10,v1
L4,lastre,Pasador perno R_baja,D5 inox + muelle,1,5,10,v1
L5,lastre,Cable bowden,1.5 mm + funda 3 m,1,8,15,v1
L6,lastre,Palancas mando,impreso 3D,3,5,15,v1
I1,instrumento,Bascula 0-5 kg,resolucion 1 g,1,10,25,v1
I2,instrumento,Cinta/pie de rey,—,1,10,10,v1
I3,instrumento,Cronometro,movil,1,0,0,v1
I4,instrumento,Camara lenta,movil,1,0,0,v1
I5,instrumento,Celula carga + HX711,5-10 kg,1,15,30,v1.1
I6,instrumento,Arduino/ESP32,log tiempos,1,10,20,v1.1
G1,generacion,Motor DC generador,12-24 V,1,15,40,v1.1
G2,generacion,Polea + hilo,acoplado al modulo,1,10,10,v1.1
G3,generacion,Carga + multimetro,medir V I,1,20,40,v1.1
G4,generacion,Diodo + condensador,snubber,1,5,5,v1.1
